Host Name,Load,%CPU User,%CPU Sys,%CPU iowt,%CPU Idle,Java CPU,%Mem Used,%Swap,Total Procs,Disk Usage,Mb/s In,Mb/s Out,Back Close Wait,Front Close Wait,Uptime Days,Load Aver,Timestamp,CPU,Mem,Swap
ppvra00a0018,0.7,13.6,9.9,1.7,74.3,696.9,13.1,22.2,517,67% /aimlp_work,0,0,0,0,25,10.74,12:03:33,16,2517,16
ppvra00a0025,1.7,1.7,4,1.7,92.1,600.4,9.5,18.1,482,67% /aimlp_work,0,0,0,0,25,27.95,12:03:54,16,2517,16
ppvra00a0028,0.1,0.9,1.2,0,97.9,544.1,5.7,26.4,485,67% /aimlp_work,0,0,0,0,25,1.3,12:03:28,16,2517,16
ppvra00a0030,0.3,10.9,5.8,1.5,81.5,1122.4,12,19.4,478,67% /aimlp_work,0,0,0,0,21,4.12,12:03:41,16,2517,16
ppvra00a0031,0.6,1.3,3.7,0.6,94.3,926.3,14.1,12.1,491,67% /aimlp_work,0,0,0,0,21,9.43,12:03:54,16,2517,16
ppvra00a0032,0.2,6.6,6.1,1,87.3,808.6,8.4,20.2,508,67% /aimlp_work,0,0,0,0,21,3.73,12:03:38,16,2517,16
ppvra00a0033,0.4,4.7,6.6,1,87.7,808.6,8.4,20.2,508,67% /aimlp_work,0,0,0,0,21,7.09,12:03:36,16,2517,16
ppvra00a0034,0.1,0.3,0.3,0,99.3,374.9,4.2,20.2,476,67% /aimlp_work,0,0,0,0,25,1.01,12:03:39,16,2517,16
ppvra00a0035,0.6,3.5,4.5,0,85,835.3,9.8,21.3,486,67% /aimlp_work,0,0,0,0,25,10.26,12:03:53,16,2517,16
ppvra00a0037,0.1,0.8,2.1,0.8,88,1094.4,6,15.4,480,67% /aimlp_work,0,0,0,0,25,1.17,12:03:14,16,2517,16
ppvra00a0038,0.4,2.8,2.9,0.5,93.8,1699.2,12.8,5.5,489,67% /aimlp_work,0,0,0,0,25,6.49,12:02:40,16,2517,16
ppvra00a0040,0.9,2.3,5.2,2.7,89.3,783.6,19.2,4.9,495,67% /aimlp_work,0,0,0,0,25,14.03,12:03:40,16,2517,16
ppvra00a0041,2.2,3.5,4.5,2,89.5,753.9,8.2,16.7,471,67% /aimlp_work,0,0,0,0,25,35.37,12:04:03,16,2517,16
